Vendor,Service Type,Contract ID,Strategic Risk,Legal and Regulatory Compliance,Financial Risk,Reputational,Information Security,Information Technology,Physical Security,Insurance Coverage,Service Risk Score,Normalized Score,Reassessment Status
Vend-87,Software Packages,Con-101,4,3,2,2,4,2,4,3,12,0.75,Complete
Vend-61,Insurance,Con-102,2,4,2,2,4,3,1,3,10.5,0.65625,Complete
Vend-98,Hardware,Con-103,1,1,2,2,3,2,1,4,8,0.5,Past Due 0 - 15 Days
Vend-54,Mail,Con-104,1,3,2,2,1,1,3,3,8,0.5,Past Due > 30 Days
Vend-70,Technical Consulting,Con-105,1,4,1,2,3,3,3,1,9,0.5625,Complete
Vend-63,Engineering,Con-106,2,2,3,3,1,4,4,3,11,0.6875,Past Due > 30 Days
Vend-76,Stationary,Con-107,1,4,1,2,3,2,1,2,8,0.5,In Progress - Due in < 15 Days
Vend-57,Professional Services,Con-108,3,3,2,2,4,2,3,2,10.5,0.65625,Complete
Vend-99,Legal,Con-109,4,4,4,2,2,4,2,2,12,0.75,Complete
Vend-54,Mail,Con-110,3,1,2,3,3,1,3,4,10,0.625,Past Due > 30 Days
Vend-82,Information Technology,Con-111,1,2,3,3,2,1,1,2,7.5,0.46875,Past Due > 30 Days
Vend-56,Travel,Con-112,4,1,3,1,2,1,2,4,9,0.5625,Past Due > 30 Days
Vend-91,Administrative Suppport,Con-113,3,3,1,2,2,2,3,3,9.5,0.59375,Past Due > 30 Days
Vend-62,Technical Consulting,Con-114,1,3,3,2,2,3,1,3,9,0.5625,Past Due > 30 Days
Vend-82,Stationary,Con-115,1,1,4,2,4,2,4,1,9.5,0.59375,Past Due > 30 Days
Vend-76,Legal,Con-116,4,1,3,2,3,3,1,4,10.5,0.65625,Complete
Vend-85,Administrative Suppport,Con-117,2,2,1,1,1,2,3,1,6.5,0.40625,Past Due > 30 Days
Vend-78,Software Packages,Con-118,3,2,2,1,1,2,4,2,8.5,0.53125,Past Due > 30 Days
Vend-61,Technical Consulting,Con-119,4,4,4,2,2,4,3,3,13,0.8125,Past Due > 30 Days
Vend-96,Professional Services,Con-120,3,3,4,2,4,1,2,3,11,0.6875,Complete
Vend-95,Mail,Con-121,2,4,1,3,2,2,3,2,9.5,0.59375,Past Due > 30 Days
Vend-54,Technical Consulting,Con-122,2,4,4,1,1,3,4,4,11.5,0.71875,Complete
Vend-50,Software Packages,Con-123,3,3,4,3,1,3,2,2,10.5,0.65625,Past Due > 30 Days
Vend-90,Professional Services,Con-124,2,4,3,4,1,4,1,1,10,0.625,Past Due > 30 Days
Vend-99,Insurance,Con-125,4,4,2,3,2,1,4,2,11,0.6875,Past Due > 30 Days
Vend-71,Hardware,Con-126,3,1,1,2,2,4,2,2,8.5,0.53125,Past Due > 30 Days
Vend-76,Insurance,Con-127,4,1,4,3,1,2,2,4,10.5,0.65625,Complete
Vend-61,Mail,Con-128,1,1,2,4,3,2,2,1,8,0.5,Past Due > 30 Days
Vend-63,Professional Services,Con-129,4,4,1,3,2,1,2,4,10.5,0.65625,Complete
Vend-98,Mail,Con-130,1,4,4,4,1,2,2,2,10,0.625,Complete
Vend-91,Administrative Suppport,Con-131,2,3,3,2,4,4,2,3,11.5,0.71875,In  Progress - Due 15 - 30 Days
Vend-67,Mail,Con-132,1,4,4,1,1,2,4,4,10.5,0.65625,Complete
Vend-89,Insurance,Con-133,4,2,3,3,4,4,3,3,13,0.8125,Complete
Vend-77,Technical Consulting,Con-134,1,1,3,3,4,1,2,2,8.5,0.53125,Past Due > 30 Days
Vend-63,Stationary,Con-135,4,3,3,3,1,3,1,4,11,0.6875,Past Due > 30 Days
Vend-67,Mail,Con-136,3,2,1,4,3,3,3,1,10,0.625,Complete
Vend-87,Travel,Con-137,4,2,3,2,1,3,2,2,9.5,0.59375,Past Due > 30 Days
Vend-64,Stationary,Con-138,1,3,2,3,4,3,4,2,11,0.6875,Past Due > 30 Days
Vend-67,Professional Services,Con-139,2,4,2,2,2,2,1,2,8.5,0.53125,Past Due > 30 Days
Vend-70,Software Packages,Con-140,3,2,1,2,1,1,2,3,7.5,0.46875,Past Due > 30 Days
Vend-68,Engineering,Con-141,3,4,4,3,3,1,2,1,10.5,0.65625,Complete
Vend-92,Administrative Suppport,Con-142,2,1,3,4,1,4,1,4,10,0.625,Complete
Vend-51,Stationary,Con-143,1,1,1,2,4,2,1,2,7,0.4375,Past Due > 30 Days
Vend-97,Software Packages,Con-144,4,4,4,3,4,3,4,4,15,0.9375,Complete
Vend-56,Mail,Con-145,4,2,3,2,2,2,1,1,8.5,0.53125,Past Due > 30 Days
Vend-83,Professional Services,Con-146,4,4,4,1,3,2,3,2,11.5,0.71875,Complete
Vend-92,Mail,Con-147,3,3,2,3,2,1,3,4,10.5,0.65625,Past Due > 30 Days
Vend-91,Insurance,Con-148,1,1,2,4,2,2,4,2,9,0.5625,Past Due > 30 Days
Vend-86,Professional Services,Con-149,3,4,2,1,4,3,1,3,10.5,0.65625,Past Due > 30 Days
Vend-79,Professional Services,Con-150,2,2,2,1,1,4,2,3,8.5,0.53125,Past Due > 30 Days
Vend-51,Technical Consulting,Con-151,3,3,2,2,2,1,3,3,9.5,0.59375,Past Due > 30 Days
Vend-84,Professional Services,Con-152,4,1,2,1,1,2,1,4,8,0.5,Past Due > 30 Days
Vend-99,Administrative Suppport,Con-153,2,3,3,2,1,1,4,1,8.5,0.53125,Past Due > 30 Days
Vend-56,Administrative Suppport,Con-154,3,1,3,3,2,3,1,3,9.5,0.59375,Past Due > 30 Days
Vend-56,Technical Consulting,Con-155,3,4,4,4,4,4,2,4,14.5,0.90625,Complete
Vend-81,Insurance,Con-156,1,3,4,1,1,3,2,1,8,0.5,Past Due > 30 Days
Vend-65,Administrative Suppport,Con-157,2,3,1,4,3,2,1,1,8.5,0.53125,Past Due > 30 Days
Vend-79,Technical Consulting,Con-158,3,2,2,2,4,3,1,2,9.5,0.59375,In  Progress - Due 15 - 30 Days
Vend-61,Insurance,Con-159,1,2,3,3,4,1,2,4,10,0.625,Complete
Vend-81,Mail,Con-160,1,2,1,4,3,4,1,3,9.5,0.59375,Past Due > 30 Days
Vend-53,Printing,Con-161,4,1,1,4,1,3,4,4,11,0.6875,Past Due > 30 Days
Vend-84,Engineering,Con-162,1,3,2,2,2,2,3,2,8.5,0.53125,Past Due > 30 Days
Vend-50,Human Resources,Con-163,2,2,3,2,4,3,1,2,9.5,0.59375,Past Due > 30 Days
Vend-67,Travel,Con-164,3,1,3,4,3,2,2,4,11,0.6875,Complete
Vend-72,Human Resources,Con-165,1,4,3,1,1,1,1,1,6.5,0.40625,Past Due > 30 Days
Vend-79,Stationary,Con-166,4,3,2,3,2,4,4,2,12,0.75,Past Due > 30 Days
Vend-67,Professional Services,Con-167,3,3,1,2,2,2,4,1,9,0.5625,Past Due > 30 Days
Vend-51,Mail,Con-168,4,3,1,1,1,2,3,1,8,0.5,Past Due > 30 Days
Vend-94,Administrative Suppport,Con-169,3,1,1,4,4,3,1,1,9,0.5625,Past Due > 30 Days
Vend-91,Insurance,Con-170,1,1,2,2,1,1,2,3,6.5,0.40625,Past Due > 30 Days
Vend-74,Professional Services,Con-171,4,3,4,4,2,2,2,4,12.5,0.78125,Past Due > 30 Days
Vend-71,Human Resources,Con-172,4,3,3,2,4,2,1,4,11.5,0.71875,Complete
Vend-52,Mail,Con-173,1,3,1,3,1,4,3,3,9.5,0.59375,In Progress - Due in < 15 Days
Vend-72,Professional Services,Con-174,3,3,4,4,4,1,3,2,12,0.75,Complete
Vend-95,Administrative Suppport,Con-175,1,2,1,4,4,3,2,2,9.5,0.59375,Past Due > 30 Days
Vend-99,Software Packages,Con-176,2,3,2,2,2,1,2,1,7.5,0.46875,Past Due > 30 Days
Vend-99,Software Packages,Con-177,3,3,3,2,1,4,4,4,12,0.75,Complete
Vend-83,Hardware,Con-178,1,3,2,1,2,4,4,1,9,0.5625,Past Due > 30 Days
Vend-58,Mail,Con-179,2,3,2,3,3,3,4,3,11.5,0.71875,Past Due > 30 Days
Vend-92,Technical Consulting,Con-180,4,3,3,3,2,3,2,3,11.5,0.71875,Past Due > 30 Days
Vend-72,Software Packages,Con-181,2,2,2,1,3,4,3,1,9,0.5625,Past Due > 30 Days
Vend-86,Software Packages,Con-182,3,2,1,3,3,4,2,4,11,0.6875,Past Due 15 - 30 Days
Vend-66,Technical Consulting,Con-183,3,4,2,3,3,3,3,3,12,0.75,Past Due > 30 Days
Vend-94,Technical Consulting,Con-184,2,3,2,2,3,1,3,4,10,0.625,Complete
Vend-57,Mail,Con-185,2,3,4,2,1,2,1,4,9.5,0.59375,Past Due > 30 Days
Vend-83,Technical Consulting,Con-186,4,3,2,4,1,1,4,4,11.5,0.71875,Complete
Vend-64,Stationary,Con-187,1,3,3,2,1,3,4,4,10.5,0.65625,Complete
Vend-94,Travel,Con-188,4,2,3,4,4,1,1,1,10,0.625,Past Due > 30 Days
Vend-66,Software Packages,Con-189,1,2,3,4,3,3,3,2,10.5,0.65625,Past Due > 30 Days
Vend-65,Insurance,Con-190,1,3,3,2,2,2,2,1,8,0.5,Past Due > 30 Days
Vend-61,Hardware,Con-191,3,1,4,1,2,2,4,2,9.5,0.59375,Past Due > 30 Days
Vend-86,Engineering,Con-192,1,2,1,1,3,1,1,2,6,0.375,Past Due > 30 Days
Vend-58,Professional Services,Con-193,3,4,4,4,4,2,4,3,14,0.875,Complete
Vend-71,Insurance,Con-194,3,1,4,3,4,1,2,4,11,0.6875,Complete
Vend-61,Stationary,Con-195,3,2,2,1,1,4,2,3,9,0.5625,Past Due > 30 Days
Vend-89,Administrative Suppport,Con-196,2,1,2,3,4,4,4,4,12,0.75,Past Due > 30 Days
Vend-79,Mail,Con-197,2,4,1,1,4,3,2,2,9.5,0.59375,Past Due > 30 Days
Vend-75,Insurance,Con-198,4,2,3,4,2,3,2,2,11,0.6875,In Progress - Due in < 15 Days
Vend-84,Administrative Suppport,Con-199,3,2,4,1,2,3,1,2,9,0.5625,Past Due > 30 Days
Vend-64,Engineering,Con-200,4,3,4,1,1,3,4,2,11,0.6875,Complete
